repository,file,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\QueryImpl.java,1,1,1011,0,1011,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\QueryParameters.java,1,1,121,0,121,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\QueryPersistence.java,1,1,7,0,7,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\config\QueryExpirationProperties.java,1,1,242,0,242,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\resources\source-templates\datawave\microservice\query\package-info.java,1,1,6,0,6,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\QueryController.java,5,4,2809,111,2920,184,564
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\QueryManagementService.java,7,4,2801,154,2955,170,579
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\QueryService.java,1,1,17,0,17,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\WebController.java,1,1,30,0,30,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\cachedresults\CachedResultsQueryController.java,2,2,329,36,365,170,579
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\cachedresults\LocalQueryService.java,1,1,65,0,65,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\config\QueryServiceConfiguration.java,3,2,91,8,99,132,616
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\lookup\LookupService.java,1,1,731,0,731,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\mapreduce\MapReduceQueryController.java,2,2,587,36,623,170,579
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\mapreduce\MapReduceQueryManagementService.java,1,1,766,0,766,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\mapreduce\config\MapReduceQueryControllerConfig.java,1,1,42,0,42,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\MonitorTask.java,3,2,148,5,153,120,628
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\QueryMonitor.java,3,2,153,4,157,120,628
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\cache\MonitorStatus.java,3,2,22,1,23,60,689
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\cache\MonitorStatusCache.java,1,1,94,0,94,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\config\MonitorConfig.java,1,1,43,0,43,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\monitor\config\MonitorProperties.java,2,2,173,0,173,120,628
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\runner\NextCall.java,1,1,496,0,496,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\stream\StreamingService.java,1,1,124,0,124,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\stream\listener\CountingResponseBodyEmitterListener.java,1,1,45,0,45,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\stream\listener\StreamingResponseListener.java,1,1,18,0,18,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\stream\runner\StreamingCall.java,1,1,189,0,189,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\translateid\TranslateIdService.java,1,1,218,0,218,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\BaseQueryResponseAdvice.java,1,1,36,0,36,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\QuerySessionIdAdvice.java,2,2,165,40,205,115,634
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\annotation\EnrichQueryMetrics.java,1,1,18,0,18,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\annotation\GenerateQuerySessionId.java,1,1,15,0,15,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\filter\BaseMethodStatsFilter.java,1,1,323,0,323,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\filter\CountingResponseBodyEmitter.java,1,1,16,0,16,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\filter\LoggingStatsFilter.java,1,1,80,0,80,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\filter\QueryMetricsEnrichmentFilterAdvice.java,1,1,208,0,208,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\AbstractQueryServiceTest.java,1,1,585,0,585,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceCancelTest.java,1,1,494,0,494,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceCloseTest.java,1,1,482,0,482,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceCreateTest.java,1,1,466,0,466,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceDefineTest.java,1,1,406,0,406,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceDuplicateTest.java,1,1,581,0,581,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceListTest.java,1,1,426,0,426,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceNextTest.java,1,1,776,0,776,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServicePlanTest.java,1,1,103,0,103,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceRemoveTest.java,1,1,419,0,419,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceResetTest.java,1,1,480,0,480,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\QueryServiceUpdateTest.java,1,1,448,0,448,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\lookup\LookupServiceTest.java,1,1,855,0,855,0,749
NationalSecurityAgency/datawave-query-service,service\src\test\java\datawave\microservice\query\stream\StreamingServiceTest.java,1,1,337,0,337,0,749
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\web\annotation\ClearQuerySessionId.java,1,1,12,0,12,0,634
NationalSecurityAgency/datawave-query-service,service\src\main\java\datawave\microservice\query\PoolHealthController.java,3,1,194,5,199,21,607
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\common\test\integration\IntegrationTest.java,1,1,5,0,5,0,3049
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\common\test\logging\CommonTestAppender.java,1,1,110,0,110,0,3049
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\common\test\utils\ProcessUtils.java,1,1,97,0,97,0,3049
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\test\helpers\InterruptibleScanner.java,1,1,38,0,38,0,3049
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\test\helpers\InterruptibleScannerFactory.java,1,1,84,0,84,0,3049
NationalSecurityAgency/datawave,common-test\src\main\java\datawave\test\helpers\MockTableTest.java,2,2,48,2,50,336,2712
NationalSecurityAgency/datawave,contrib\assert-properties\src\main\java\datawave\maven\AssertProperties.java,3,2,214,214,428,616,2432
NationalSecurityAgency/datawave,contrib\read-properties\src\main\java\datawave\maven\ReadProperties.java,5,4,173,173,346,616,2432
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryAccumulo.java,1,1,143,0,143,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryBatchDeleter.java,1,1,74,0,74,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryBatchScanner.java,1,1,75,0,75,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryBatchWriter.java,1,1,55,0,55,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryConfiguration.java,1,1,66,0,66,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryConnector.java,1,1,155,0,155,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryInstance.java,1,1,157,0,157,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryInstanceOperations.java,1,1,93,0,93,0,3049
NationalSecurityAgency/datawave,in-memory-accumulo\src\main\java\datawave\accumulo\inmemory\InMemoryMultiTableBatchWriter.java,1,1,56,0,56,0,3049
