repository,file,secret_type,line_number,detected_by
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,297,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,164,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,250,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,73,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,810,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,364,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,944,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,823,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,152,detect-secrets
NationalSecurityAgency/lemongrenade,repos/NationalSecurityAgency__lemongrenade/conf/lemongrenade.example.props,Secret Keyword,18,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/backend/datasource.go,Secret Keyword,434,detect-secrets
NationalSecurityAgency/timely,balancer/src/test/resources/ssl/testUser.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,balancer/src/test/resources/ssl/testServer.key,private-key,5,gitleaks
NationalSecurityAgency/timely,grafana/timely-datasource/pki/testServer.key,private-key,5,gitleaks
NationalSecurityAgency/timely,server/src/test/resources/ssl/testUser.key,private-key,5,gitleaks
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/balancer/src/test/resources/ssl/testServer.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/src/test/resources/config/application-twoWaySsl.yml,Secret Keyword,8,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/balancer/src/test/resources/config/application.yml,Secret Keyword,39,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/pki/testServer.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/backend/datasource.go,Secret Keyword,432,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/src/test/resources/config/application.yml,Secret Keyword,29,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/backend/datasource.go,Secret Keyword,479,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/src/test/resources/ssl/testUser.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,server/src/test/resources/ssl/testUser.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,grafana/timely-datasource/pki/testUser.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,grafana/timely-datasource/pki/testServer.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,balancer/src/test/resources/ssl/testUser.key,private-key,5,gitleaks
NationalSecurityAgency/timely,server/src/test/resources/ssl/testServer.key,private-key,5,gitleaks
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/src/test/resources/ssl/testServer.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,server/src/test/resources/ssl/testServer.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,grafana/timely-datasource/pki/testUser.key,private-key,5,gitleaks
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/pki/testUser.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,balancer/src/test/resources/ssl/testServer.p12,pkcs12-file,0,gitleaks
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/balancer/src/test/resources/ssl/testUser.key,Private Key,5,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/src/test/resources/config/application-oneWaySsl.yml,Secret Keyword,8,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/balancer/src/test/resources/config/application.yml,Secret Keyword,13,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/server/bin/timely-server-env.sh,Secret Keyword,7,detect-secrets
NationalSecurityAgency/timely,repos/NationalSecurityAgency__timely/grafana/timely-datasource/backend/datasource.go,Secret Keyword,462,detect-secrets
