repository,file,n_semgrep,n_codeql,has_security_risk,sonar_ncloc,sonar_lines,sonar_functions,sonar_classes,sonar_statements,sonar_complexity,sonar_cognitive_complexity,sonar_duplicated_lines,sonar_duplicated_lines_density,sonar_duplicated_blocks,sonar_comment_lines,sonar_comment_lines_density,sonar_code_smells,sonar_sqale_index,sonar_sqale_debt_ratio,sonar_violations,sonar_blocker_violations,sonar_critical_violations,sonar_major_violations,sonar_minor_violations,wmc,dit,noc,cbo,rfc,lcom,lcom_star,num_methods,num_static_methods,num_fields,num_static_fields,tcc,lcc,num_classes,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/async/AbstractQueryPlannerCallable.java,0,0,0,10.0,35.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,34.0,0.0,34.0,0.0,579.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/rules/AbstractQueryRule.java,0,0,0,37.0,48.0,7.0,1.0,11.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.4,2.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,2.0,6.0,0.0,0.0,7.0,0.0,1.0,0.0,0.71428573,0.71428573,1.0,1.0,1.0,47.0,0.0,47.0,0.0,514.0
NationalSecurityAgency/datawave,microservices/services/query/service/src/test/java/datawave/microservice/query/AbstractQueryServiceTest.java,0,0,0,465.0,586.0,52.0,3.0,195.0,90.0,23.0,0.0,0.0,0.0,20.0,4.1,3.0,32.0,0.2,3.0,0.0,0.0,1.0,2.0,75.0,2.0,13.0,46.0,117.0,793.0,0.0,57.0,0.0,24.0,10.0,0.13320999,0.32469934,5.0,3.0,2.0,680.0,95.0,775.0,71.0,405.0
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/util/AbstractQueryTest.java,0,0,0,281.0,563.0,37.0,1.0,126.0,52.0,19.0,0.0,0.0,0.0,139.0,33.1,1.0,15.0,0.2,1.0,0.0,0.0,0.0,0.0,58.0,1.0,7.0,17.0,80.0,538.0,0.0,37.0,0.0,14.0,1.0,0.089655176,0.4827586,1.0,11.0,1.0,715.0,153.0,868.0,263.0,76.0
NationalSecurityAgency/datawave,web-services/common-util/src/main/java/datawave/webservice/query/cache/AbstractRunningQuery.java,0,0,0,48.0,75.0,10.0,1.0,15.0,11.0,3.0,0.0,0.0,0.0,3.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,3.0,4.0,33.0,0.0,10.0,0.0,5.0,1.0,0.13333334,0.13333334,1.0,6.0,6.0,96.0,25.0,121.0,2619.0,436.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/util/flag/processor/AbstractSliceDistributor.java,0,0,0,82.0,104.0,4.0,1.0,50.0,19.0,24.0,0.0,0.0,0.0,4.0,4.7,3.0,16.0,0.7,3.0,0.0,1.0,0.0,2.0,19.0,1.0,0.0,6.0,28.0,0.0,0.0,4.0,0.0,2.0,0.0,0.5,0.5,1.0,5.0,5.0,119.0,16.0,135.0,2630.0,425.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/config/AbstractTableConfigHelper.java,0,0,0,140.0,284.0,10.0,1.0,79.0,31.0,34.0,0.0,0.0,0.0,92.0,39.7,2.0,25.0,0.6,2.0,0.0,0.0,2.0,0.0,34.0,1.0,12.0,10.0,37.0,33.0,0.0,10.0,3.0,2.0,1.0,0.13333334,0.13333334,1.0,11.0,7.0,367.0,80.0,447.0,2495.0,560.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/table/config/AbstractTableConfigHelperTest.java,0,0,0,604.0,924.0,23.0,2.0,387.0,52.0,39.0,233.0,25.2,15.0,1.0,0.2,70.0,827.0,4.6,70.0,0.0,45.0,2.0,23.0,49.0,2.0,0.0,17.0,78.0,27.0,0.0,23.0,2.0,36.0,20.0,0.29090908,0.6545454,2.0,14.0,9.0,1384.0,459.0,1843.0,2952.0,103.0
NationalSecurityAgency/datawave,warehouse/core/src/main/java/datawave/data/hash/AbstractUIDBuilder.java,0,0,0,108.0,146.0,3.0,1.0,62.0,27.0,52.0,0.0,0.0,0.0,16.0,12.9,4.0,63.0,1.9,4.0,0.0,1.0,1.0,2.0,27.0,1.0,0.0,11.0,25.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,179.0,34.0,213.0,2805.0,250.0
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/util/AbstractUUIDLookupCriteria.java,0,0,0,49.0,94.0,12.0,1.0,13.0,12.0,1.0,0.0,0.0,0.0,12.0,19.7,2.0,4.0,0.3,2.0,0.0,0.0,2.0,0.0,13.0,1.0,3.0,4.0,2.0,52.0,0.0,12.0,0.0,5.0,0.0,0.10606061,0.10606061,1.0,9.0,8.0,128.0,35.0,163.0,2619.0,436.0
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/function/AbstractVersionFilter.java,0,0,0,513.0,805.0,13.0,2.0,311.0,110.0,260.0,0.0,0.0,0.0,185.0,26.5,20.0,261.0,1.7,20.0,0.0,8.0,11.0,1.0,118.0,2.0,0.0,19.0,86.0,0.0,0.0,13.0,0.0,27.0,18.0,0.46666667,0.6666667,2.0,8.0,6.0,921.0,117.0,1038.0,1970.0,1085.0
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/tokenize/AccentFilter.java,0,0,0,2253.0,2292.0,4.0,1.0,928.0,1311.0,21.0,1328.0,57.9,261.0,1255.0,35.8,5.0,45.0,0.1,5.0,0.0,0.0,1.0,3.0,1311.0,2.0,0.0,5.0,7.0,4.0,0.0,4.0,2.0,1.0,0.0,0.16666667,0.16666667,1.0,4.0,3.0,2311.0,20.0,2331.0,1970.0,1085.0
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/test/resources/accumulo-monitor-stats.xml,0,0,0,249.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NationalSecurityAgency/datawave,core/annotation/src/main/java/datawave/annotation/data/v1/AccumuloAnnotationSerializer.java,0,0,0,209.0,376.0,11.0,1.0,96.0,41.0,48.0,0.0,0.0,0.0,90.0,30.1,1.0,20.0,0.3,1.0,0.0,1.0,0.0,0.0,41.0,1.0,0.0,19.0,81.0,35.0,0.0,11.0,6.0,12.0,10.0,0.18181819,0.38181818,1.0,3.0,2.0,168.0,42.0,210.0,155.0,26.0
NationalSecurityAgency/datawave,core/annotation/src/test/java/datawave/annotation/data/v1/AccumuloAnnotationSerializerTest.java,0,0,0,113.0,160.0,3.0,1.0,60.0,10.0,5.0,42.0,26.3,2.0,13.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,14.0,51.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,159.0,0.0,159.0,0.0,182.0
NationalSecurityAgency/datawave,core/annotation/src/main/java/datawave/annotation/data/v1/AccumuloAnnotationSourceSerializer.java,0,0,0,136.0,236.0,7.0,1.0,68.0,27.0,22.0,0.0,0.0,0.0,52.0,27.7,1.0,5.0,0.1,1.0,0.0,0.0,1.0,0.0,28.0,1.0,0.0,18.0,53.0,15.0,0.0,7.0,0.0,8.0,5.0,0.14285715,0.14285715,1.0,2.0,2.0,235.0,0.0,235.0,155.0,26.0
NationalSecurityAgency/datawave,core/annotation/src/test/java/datawave/annotation/data/v1/AccumuloAnnotationSourceSerializerTest.java,0,0,0,122.0,183.0,3.0,1.0,73.0,5.0,2.0,0.0,0.0,0.0,25.0,17.0,2.0,6.0,0.2,2.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,15.0,44.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,182.0,0.0,182.0,0.0,182.0
