repository,file,commits,avg_ccn,hotspot_score
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/client/RestTemplate.java,159,1.6625,264.33750000000003
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/IndexSettings.java,206,1.2751677852348993,262.68456375838923
elastic/elasticsearch,server/src/internalClusterTest/java/org/elasticsearch/indices/recovery/IndexRecoveryIT.java,102,2.574074074074074,262.55555555555554
elastic/elasticsearch,x-pack/plugin/blob-cache/src/main/java/org/elasticsearch/blobcache/shared/SharedBlobCacheService.java,108,2.4285714285714284,262.2857142857143
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/config/ViewResolversBeanDefinitionParser.java,34,7.666666666666667,260.6666666666667
elastic/elasticsearch,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/action/TransportPutFollowAction.java,76,3.4285714285714284,260.57142857142856
elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,78,3.326923076923077,259.5
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/converter/json/AbstractJackson2HttpMessageConverter.java,90,2.878787878787879,259.0909090909091
elastic/elasticsearch,server/src/main/java/org/elasticsearch/indices/recovery/PeerRecoveryTargetService.java,111,2.3333333333333335,259.0
spring-projects/spring-framework,spring-jms/src/main/java/org/springframework/jms/support/SimpleJmsHeaderMapper.java,23,11.25,258.75
termux/termux-app,terminal-view/src/main/java/com/termux/view/TerminalView.java,64,4.0256410256410255,257.64102564102564
elastic/elasticsearch,server/src/test/java/org/elasticsearch/index/replication/RecoveryDuringReplicationTests.java,81,3.1785714285714284,257.4642857142857
NationalSecurityAgency/ghidra,Ghidra/Features/GhidraServer/src/main/java/ghidra/server/remote/GhidraServer.java,29,8.842105263157896,256.42105263157896
elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/aggregations/bucket/terms/TermsAggregatorFactory.java,65,3.9444444444444446,256.3888888888889
elastic/elasticsearch,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,111,2.3,255.29999999999998
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/ast/Operator.java,38,6.7,254.6
elastic/elasticsearch,server/src/main/java/org/elasticsearch/rest/RestController.java,103,2.4705882352941178,254.47058823529412
elastic/elasticsearch,server/src/internalClusterTest/java/org/elasticsearch/snapshots/SharedClusterSnapshotRestoreIT.java,88,2.880952380952381,253.52380952380952
spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java,77,3.2790697674418605,252.48837209302326
elastic/elasticsearch,server/src/main/java/org/elasticsearch/common/io/stream/StreamInput.java,106,2.371900826446281,251.42148760330576
elastic/elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/security/authz/permission/IndicesPermission.java,63,3.981818181818182,250.85454545454547
spring-projects/spring-framework,spring-jdbc/src/main/java/org/springframework/jdbc/core/namedparam/NamedParameterUtils.java,49,5.117647058823529,250.76470588235293
elastic/elasticsearch,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/ElasticsearchTestBasePlugin.java,47,5.333333333333333,250.66666666666666
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/MvcUriComponentsBuilder.java,112,2.2222222222222223,248.8888888888889
elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/sort/FieldSortBuilder.java,69,3.5952380952380953,248.07142857142858
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/annotation/QualifierAnnotationAutowireCandidateResolver.java,48,5.166666666666667,248.0
elastic/elasticsearch,x-pack/plugin/ccr/src/test/java/org/elasticsearch/xpack/ccr/index/engine/FollowingEngineTests.java,89,2.78125,247.53125
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/annotation/AnnotationsScanner.java,45,5.5,247.5
NationalSecurityAgency/ghidra,Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/database/data/DataTypeManagerDB.java,76,3.2560975609756095,247.46341463414632
